Pager usage is off.
Output format is csv.
BEGIN
database_name,db_user,postgres_version,export_timestamp,transaction_read_only
tecdex_saas,postgres,"PostgreSQL 16.15 (Ubuntu 16.15-0ubuntu0.24.04.1) on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit",2026-09-08 11:33:24.082996+00,on
DBN05_EXPORT_SECTION standards
standard_code,display_name,family,description,is_active,created_at,updated_at
ISO27001,ISO/IEC 27001 Information security management,information_security,"Sistema de gestion de seguridad de la informacion basado en riesgos, activos, controles y tratamiento.",t,2026-05-06 18:00:36.670084+00,2026-06-09 18:36:43.622399+00
ISO42001,ISO/IEC 42001 Artificial intelligence management,ai_management,"Sistema de gestion para gobernanza, riesgos, supervision, transparencia y operacion responsable de sistemas de IA.",t,2026-05-06 18:00:36.670084+00,2026-05-06 18:00:36.670084+00
ISO9001,ISO 9001 Quality management,quality_management,"Sistema de gestion de calidad para procesos, cliente, proveedores, no conformidades y mejora.",t,2026-05-06 18:00:36.670084+00,2026-06-09 18:36:43.622399+00
DBN05_EXPORT_SECTION standard_versions
standard_version_id,standard_code,version_code,display_name,publication_status,certifiable,replaces_version,effective_from,transition_until,source_policy,notes,is_active
e97cee1b-e6a4-455e-b365-d84c84922aba,ISO27001,2022,ISO/IEC 27001:2022,published,t,,2022-10-25,,copyright_safe_summary,Version certificable vigente para SGSI.,t
fdf7c96d-6beb-4e63-b963-5905bf7b7850,ISO42001,2023,ISO/IEC 42001:2023,published,t,,2023-12-18,,copyright_safe_summary,Version usada por el producto para gestion responsable de sistemas de IA.,t
c863eac0-86f7-478c-860d-56c04fe4b524,ISO9001,2015,ISO 9001:2015,published,t,,2015-09-15,,copyright_safe_summary,Version certificable vigente para gestion de calidad en esta fase.,t
011fd602-7b95-4152-ad39-4172e3363e43,ISO9001,2026_FDIS,ISO 9001:2026 FDIS - preparacion de transicion,transition_prep,f,2015,,,copyright_safe_summary,Version FDIS/draft para preparacion. No reemplaza ISO 9001:2015 ni habilita certificacion final.,t
DBN05_EXPORT_SECTION controls_catalog
qa_control_id,qa_standard_code,clause,category,description,source_type,is_active,base_control_id,created_at,updated_at
ea335994-c2b5-498c-8673-e2510c460c49,ISO27001,GENERAL,General,Se realizan auditorías,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
9c0ac7bd-877a-4e81-a589-cfba65be2874,ISO42001,AIMS-CTX-01,Gobernanza IA,"Se define y mantiene el alcance de los sistemas, modelos, proveedores y casos de uso de IA cubiertos por el sistema de gestión.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
672825d8-a867-4f7f-8dc4-c1ad799863b0,ISO42001,AIMS-EVL-01,Evaluación IA,"Se monitorean desempeño, sesgos, errores, degradación, incidentes y resultados relevantes de sistemas de IA.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
b13a5300-df88-478c-9f89-c9042c609da5,ISO42001,AIMS-EVL-02,Auditoría IA,Se planifican y ejecutan auditorías internas del sistema de gestión de IA.,generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
a3da8cfa-deb7-4da0-ad44-38101360406b,ISO42001,AIMS-IMP-01,Mejora IA,"Se gestionan no conformidades, incidentes, desviaciones y acciones correctivas relacionadas con IA.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
149e545a-4057-4e29-84c4-b62ec0357bdd,ISO42001,AIMS-LDR-01,Gobernanza IA,"Existe una política de IA responsable aprobada, comunicada y revisada periódicamente.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
d399343c-25a8-425b-a409-4d284babbb69,ISO42001,AIMS-LDR-02,Gobernanza IA,"Se asignan roles, responsabilidades y mecanismos de rendición de cuentas para el diseño, uso, operación y supervisión de IA.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
16b1e93a-5009-431f-82f8-992bf50b69c6,ISO42001,AIMS-OPS-01,Operación IA,"Existe inventario actualizado de sistemas de IA, modelos, proveedores, finalidades, responsables y casos de uso.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
fd68b23b-f26c-4e31-8110-e5ce3daa5fcf,ISO42001,AIMS-OPS-02,Impacto IA,Se realizan evaluaciones de impacto para sistemas de IA relevantes antes de su uso o cambio significativo.,generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
23012c91-7658-4a0f-8ba5-f086fa24e5b5,ISO42001,AIMS-OPS-03,Datos IA,"Se gestionan datos usados por IA considerando calidad, trazabilidad, seguridad, privacidad y uso permitido.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
