tenant_id,module_key,module_name,is_enabled,enabled_at,disabled_at
76c44a0e-6041-8bda-99c7-b740fccea001,audits,Auditorías,t,,
76c44a0e-6041-8bda-99c7-b740fccea001,assets,Activos,t,,
76c44a0e-6041-8bda-99c7-b740fccea001,reports,Reportes,t,,
76c44a0e-6041-8bda-99c7-b740fccea001,ai,IA,t,2026-08-08 19:01:06.704792,
76c44a0e-6041-8bda-99c7-b740fccea001,dealer_portal,Portal Dealer,f,,
76c44a0e-6041-8bda-99c7-b740fccea001,admin_saas,Administración SaaS,f,,
8b161984-85b5-4632-a446-472a56fb3660,health,Health ISO,t,2026-04-27 20:34:17.762082,
8b161984-85b5-4632-a446-472a56fb3660,controls,Controles,t,2026-04-27 21:54:51.290648,
8b161984-85b5-4632-a446-472a56fb3660,evidences,Evidencias,t,2026-04-27 21:54:41.064718,
8b161984-85b5-4632-a446-472a56fb3660,action_plans,Plan de Acción,t,2026-04-27 21:54:44.00012,
8b161984-85b5-4632-a446-472a56fb3660,grc_phase1_core,Nucleo GRC Fase 1,f,,
8b161984-85b5-4632-a446-472a56fb3660,grc_phase2_integrated,GRC integrado Fase 2,f,,
8b161984-85b5-4632-a446-472a56fb3660,grc_phase3_operations,Operación y continuidad GRC,f,,
8b161984-85b5-4632-a446-472a56fb3660,nonconformities,No Conformidades,t,,
8b161984-85b5-4632-a446-472a56fb3660,risk_matrix,Matriz de Riesgo,t,2026-04-27 21:54:22.550414,
8b161984-85b5-4632-a446-472a56fb3660,audits,Auditorías,t,2026-04-27 21:54:25.62697,
8b161984-85b5-4632-a446-472a56fb3660,assets,Activos,t,2026-04-27 21:54:37.747455,
8b161984-85b5-4632-a446-472a56fb3660,reports,Reportes,t,,
8b161984-85b5-4632-a446-472a56fb3660,ai,IA,t,2026-04-27 21:54:35.050937,
8b161984-85b5-4632-a446-472a56fb3660,dealer_portal,Portal Dealer,f,,
8b161984-85b5-4632-a446-472a56fb3660,admin_saas,Administración SaaS,f,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,health,Health ISO,t,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,controls,Controles,t,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,evidences,Evidencias,t,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,action_plans,Plan de Acción,t,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,grc_phase1_core,Nucleo GRC Fase 1,f,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,grc_phase2_integrated,GRC integrado Fase 2,f,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,grc_phase3_operations,Operación y continuidad GRC,f,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,nonconformities,No Conformidades,t,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,risk_matrix,Matriz de Riesgo,f,,2026-08-20 14:06:17.107893
abc8c711-b099-4dc9-b0cc-8546fcb4437b,audits,Auditorías,t,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,assets,Activos,f,,2026-08-20 14:06:20.511851
abc8c711-b099-4dc9-b0cc-8546fcb4437b,reports,Reportes,t,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,ai,IA,t,2026-08-20 13:59:44.773417,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,dealer_portal,Portal Dealer,f,,
abc8c711-b099-4dc9-b0cc-8546fcb4437b,admin_saas,Administración SaaS,f,,
df9add48-3404-4a51-aaa9-6beb68775f8f,health,Health ISO,t,,
df9add48-3404-4a51-aaa9-6beb68775f8f,controls,Controles,t,,
df9add48-3404-4a51-aaa9-6beb68775f8f,evidences,Evidencias,t,,
df9add48-3404-4a51-aaa9-6beb68775f8f,action_plans,Plan de Acción,t,,
df9add48-3404-4a51-aaa9-6beb68775f8f,grc_phase1_core,Nucleo GRC Fase 1,f,,
df9add48-3404-4a51-aaa9-6beb68775f8f,grc_phase2_integrated,GRC integrado Fase 2,f,,
