tenant_id,capability_key,enabled,read_only,source,module_key,required_permission,effective_from,effective_until
4f8c5522-190c-4ace-bf59-1e7cc96003e7,workpapers.audit,t,f,plan,audit_workpapers,commercial.entitlement.read,2026-07-30 16:41:42.399471+00,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,bi.dashboard_builder,t,f,plan,metrics_bi,dashboards.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,bi.executive_dashboards,t,f,plan,metrics_bi,dashboards.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,core.dashboard,t,f,plan,core,commercial.entitlement.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,core.reports,t,f,plan,core,commercial.entitlement.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,grc.phase1,t,f,plan,grc_core,commercial.entitlement.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,grc.phase3,t,f,plan,operations_grc,commercial.entitlement.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,imports.excel,t,f,plan,operations_grc,operations.import,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,methodology.risk,t,f,plan,risk_manager,commercial.entitlement.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.actions.propose,t,f,plan,metrics_bi,metrics.measure,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.actions.review,t,f,plan,metrics_bi,metrics.validate,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.catalog,t,f,plan,metrics_bi,metrics.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.comparisons.read,t,f,plan,metrics_bi,metrics.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
