role_key,permission_key,is_allowed,permission_group,permission_is_active
tenant_admin,organizations.manage,t,operations,t
tenant_admin,organizations.read,t,operations,t
tenant_admin,privacy.approve,t,privacy,t
tenant_admin,privacy.breaches.manage,t,privacy,t
tenant_admin,privacy.dpia.manage,t,privacy,t
tenant_admin,privacy.manage,t,privacy,t
tenant_admin,privacy.read,t,privacy,t
tenant_admin,privacy.requests.manage,t,privacy,t
tenant_admin,processes.approve,t,operations,t
tenant_admin,processes.manage,t,operations,t
tenant_admin,processes.read,t,operations,t
tenant_admin,quantitative_risk.approve,t,risk,t
tenant_admin,quantitative_risk.manage,t,risk,t
tenant_admin,quantitative_risk.read,t,risk,t
tenant_admin,readiness.generate,t,readiness,t
tenant_admin,readiness.read,t,readiness,t
tenant_admin,reports.approve,t,reports,t
tenant_admin,reports.download,t,reports,t
tenant_admin,reports.export,t,reports,t
tenant_admin,reports.generate,t,reports,t
tenant_admin,reports.manage,t,reports,t
tenant_admin,reports.read,t,reports,t
tenant_admin,reports.schedule,t,reports,t
tenant_admin,reports.view,t,reports,t
tenant_admin,risk_matrix.manage,t,risk_matrix,t
tenant_admin,risk_matrix.view,t,risk_matrix,t
tenant_admin,semantic.contracts.manage,t,semantic,t
tenant_admin,semantic.contracts.publish,t,semantic,t
tenant_admin,semantic.contracts.read,t,semantic,t
tenant_admin,semantic.contracts.review,t,semantic,t
tenant_admin,semantic.lineage.read,t,semantic,t
tenant_admin,semantic.mappings.manage,t,semantic,t
tenant_admin,semantic.mappings.read,t,semantic,t
tenant_admin,semantic.mappings.validate,t,semantic,t
tenant_admin,semantic.observations.ingest,t,semantic,t
tenant_admin,semantic.observations.read,t,semantic,t
tenant_admin,semantic.sufficiency.manage,t,semantic,t
tenant_admin,semantic.sufficiency.publish,t,semantic,t
tenant_admin,semantic.sufficiency.read,t,semantic,t
tenant_admin,services.manage,t,operations,t
tenant_admin,services.read,t,operations,t
tenant_admin,standards.view,t,standards,t
tenant_admin,suppliers.approve,t,suppliers,t
tenant_admin,suppliers.assess,t,suppliers,t
tenant_admin,suppliers.manage,t,suppliers,t
tenant_admin,suppliers.portal.manage,t,suppliers,t
tenant_admin,suppliers.read,t,suppliers,t
tenant_admin,surveys.approve,t,surveys,t
tenant_admin,surveys.evaluate,t,surveys,t
tenant_admin,surveys.manage,t,surveys,t
tenant_admin,surveys.publish,t,surveys,t
tenant_admin,surveys.read,t,surveys,t
tenant_admin,surveys.respond,t,surveys,t
tenant_admin,users.assign_roles,t,users,t
tenant_admin,users.manage,t,users,t
tenant_admin,users.view,t,users,t
tenant_admin,workflow.manage,t,workflow,t
tenant_admin,workflow.read,t,workflow,t
tenant_admin,workflow.transition,t,workflow,t
viewer,actions.view,t,actions,t
viewer,assets.view,t,assets,t
viewer,audits.view,t,audits,t
viewer,controls.view,t,controls,t
viewer,dashboards.read,t,bi,t
viewer,data.catalog.read,t,data,t
