role_key,permission_key,permission_group,is_allowed,permission_active
superadmin,evidences.delete,evidences,t,t
superadmin,evidences.review,evidences,t,t
superadmin,evidences.upload,evidences,t,t
superadmin,evidences.view,evidences,t,t
superadmin,health.refresh,health,t,t
superadmin,health.view,health,t,t
superadmin,modules.manage,modules,t,t
superadmin,modules.view,modules,t,t
superadmin,nonconformities.manage,nonconformities,t,t
superadmin,nonconformities.review,nonconformities,t,t
superadmin,nonconformities.view,nonconformities,t,t
superadmin,reports.export,reports,t,t
superadmin,reports.view,reports,t,t
superadmin,risk_matrix.manage,risk_matrix,t,t
superadmin,risk_matrix.view,risk_matrix,t,t
superadmin,settings.manage,settings,t,t
superadmin,settings.view,settings,t,t
superadmin,standards.initialize,standards,t,t
superadmin,standards.manage,standards,t,t
superadmin,standards.view,standards,t,t
superadmin,tenants.create,tenants,t,t
superadmin,tenants.manage,tenants,t,t
superadmin,tenants.suspend,tenants,t,t
superadmin,tenants.update,tenants,t,t
superadmin,tenants.view,tenants,t,t
superadmin,users.assign_roles,users,t,t
superadmin,users.manage,users,t,t
superadmin,users.view,users,t,t
tenant_admin,actions.approve,actions,t,t
tenant_admin,actions.manage,actions,t,t
tenant_admin,actions.view,actions,t,t
tenant_admin,assets.manage,assets,t,t
tenant_admin,assets.view,assets,t,t
tenant_admin,assurance_tests.execute,assurance,t,t
tenant_admin,assurance_tests.manage,assurance,t,t
tenant_admin,assurance_tests.read,assurance,t,t
tenant_admin,assurance_tests.review,assurance,t,t
tenant_admin,audit.plan.manage,audit,t,t
tenant_admin,audit.plan.read,audit,t,t
tenant_admin,audit.report.generate,audit,t,t
tenant_admin,audit.review,audit,t,t
tenant_admin,audit.workpaper.manage,audit,t,t
tenant_admin,auditlog.view,auditlog,t,t
tenant_admin,audits.manage,audits,t,t
tenant_admin,audits.view,audits,t,t
tenant_admin,bia.approve,continuity,t,t
tenant_admin,bia.manage,continuity,t,t
tenant_admin,bia.read,continuity,t,t
tenant_admin,commercial.entitlement.read,commercial,t,t
tenant_admin,commercial.health.read,commercial,t,t
tenant_admin,commercial.methodology.read,commercial,t,t
tenant_admin,commercial.pack.read,commercial,t,t
tenant_admin,commercial.subscription.read,commercial,t,t
tenant_admin,commercial.usage.read,commercial,t,t
tenant_admin,commercial.workpaper.read,commercial,t,t
tenant_admin,connectors.credentials.manage,connectors,t,t
tenant_admin,connectors.logs.read,connectors,t,t
tenant_admin,connectors.manage,connectors,t,t
tenant_admin,connectors.read,connectors,t,t
tenant_admin,connectors.sync.run,connectors,t,t
tenant_admin,continuity.activate,continuity,t,t
tenant_admin,continuity.approve,continuity,t,t
tenant_admin,continuity.manage,continuity,t,t
tenant_admin,continuity.read,continuity,t,t
tenant_admin,continuity.tests.manage,continuity,t,t
tenant_admin,controls.manage,controls,t,t
tenant_admin,controls.view,controls,t,t
tenant_admin,crisis.manage,continuity,t,t
tenant_admin,crisis.read,continuity,t,t
tenant_admin,dashboards.manage,bi,t,t
tenant_admin,dashboards.publish,bi,t,t
tenant_admin,dashboards.read,bi,t,t
tenant_admin,data.catalog.manage,data,t,t
tenant_admin,data.catalog.read,data,t,t
tenant_admin,data.lineage.manage,data,t,t
tenant_admin,data.lineage.read,data,t,t
tenant_admin,data.quality.manage,data,t,t
tenant_admin,data.quality.read,data,t,t
tenant_admin,evidence.request.manage,evidence,t,t
tenant_admin,evidence.request.read,evidence,t,t
tenant_admin,evidence.review,grc,t,t
tenant_admin,evidences.review,evidences,t,t
tenant_admin,evidences.upload,evidences,t,t
tenant_admin,evidences.view,evidences,t,t
tenant_admin,framework.manage,grc,t,t
tenant_admin,framework.read,framework,t,t
tenant_admin,gap.evaluate,gap,t,t
tenant_admin,gap.manage,gap,t,t
tenant_admin,gap.read,gap,t,t
tenant_admin,gap.transition,gap,t,t
tenant_admin,grc.escalation.manage,workflow,t,t
tenant_admin,grc.export.generate,audit,t,t
tenant_admin,grc.phase2.export,reporting,t,t
tenant_admin,grc.scheduler.run,workflow,t,t
tenant_admin,health.refresh,health,t,t
tenant_admin,health.view,health,t,t
tenant_admin,incidents.close,incidents,t,t
tenant_admin,incidents.command,incidents,t,t
tenant_admin,incidents.manage,incidents,t,t
tenant_admin,incidents.notifications.manage,incidents,t,t
tenant_admin,incidents.read,incidents,t,t
tenant_admin,loss_events.approve,loss,t,t
tenant_admin,loss_events.manage,loss,t,t
tenant_admin,loss_events.read,loss,t,t
tenant_admin,metrics.approve,metrics,t,t
tenant_admin,metrics.manage,metrics,t,t
tenant_admin,metrics.measure,metrics,t,t
tenant_admin,metrics.publish,metrics,t,t
tenant_admin,metrics.read,metrics,t,t
tenant_admin,metrics.recalculate,metrics,t,t
tenant_admin,metrics.record,metrics,t,t
tenant_admin,metrics.validate,metrics,t,t
tenant_admin,modules.view,modules,t,t
tenant_admin,nonconformities.manage,nonconformities,t,t
tenant_admin,nonconformities.view,nonconformities,t,t
tenant_admin,operations.360.read,operations,t,t
tenant_admin,operations.dashboard.read,operations,t,t
tenant_admin,operations.import,operations,t,t
tenant_admin,organizations.manage,operations,t,t
tenant_admin,organizations.read,operations,t,t
tenant_admin,privacy.approve,privacy,t,t
tenant_admin,privacy.breaches.manage,privacy,t,t
tenant_admin,privacy.dpia.manage,privacy,t,t
tenant_admin,privacy.manage,privacy,t,t
tenant_admin,privacy.read,privacy,t,t
tenant_admin,privacy.requests.manage,privacy,t,t
tenant_admin,processes.approve,operations,t,t
tenant_admin,processes.manage,operations,t,t
tenant_admin,processes.read,operations,t,t
tenant_admin,quantitative_risk.approve,risk,t,t
tenant_admin,quantitative_risk.manage,risk,t,t
tenant_admin,quantitative_risk.read,risk,t,t
tenant_admin,readiness.generate,readiness,t,t
tenant_admin,readiness.read,readiness,t,t
tenant_admin,reports.approve,reports,t,t
tenant_admin,reports.download,reports,t,t
tenant_admin,reports.export,reports,t,t
tenant_admin,reports.generate,reports,t,t
tenant_admin,reports.manage,reports,t,t
tenant_admin,reports.read,reports,t,t
tenant_admin,reports.schedule,reports,t,t
tenant_admin,reports.view,reports,t,t
tenant_admin,risk_matrix.manage,risk_matrix,t,t
tenant_admin,risk_matrix.view,risk_matrix,t,t
tenant_admin,semantic.contracts.manage,semantic,t,t
tenant_admin,semantic.contracts.publish,semantic,t,t
tenant_admin,semantic.contracts.read,semantic,t,t
tenant_admin,semantic.contracts.review,semantic,t,t
tenant_admin,semantic.lineage.read,semantic,t,t
tenant_admin,semantic.mappings.manage,semantic,t,t
tenant_admin,semantic.mappings.read,semantic,t,t
tenant_admin,semantic.mappings.validate,semantic,t,t
tenant_admin,semantic.observations.ingest,semantic,t,t
tenant_admin,semantic.observations.read,semantic,t,t
